id,name,frequency
672,"NIEHOUS, WILLIAM",126
675,"GLENN, JOHN",125
676,"JAYEWARDENE, J R",125
677,"LORD, WINSTON",125
678,"MACOVESCU, GEORGE",125
679,"ROGERS, WILLIAM",125
680,"WARNKE, PAUL C",125
685,MENGISTU HAILE-MARIAM,124
688,"SULTAN, PRINCE",124
687,"REPPAS, GEORGE",124
686,"NASCIMENTO, EDITH MARIA RODRIGUES",124
683,"KISSINGER, NANCY",124
684,"MARCOS, FERDINAND E",124
682,"GENSCHER, HANS DIETRICH",124
681,"FRANGIE, SULEIMAN",124
694,PAK CHONG-HUI,123
697,"SNEIDER, RICHARD L",123
696,"RAINA, TAPISHWAR NARAIN",123
695,"PUJA, FRIGYES",123
690,"BOURNE, PETER",123
693,IENG SARY,123
692,"DRISCOLL, DAVID",123
691,"CHAVAN, Y B",123
689,"ABDULLAH, WAHEED",123
698,"BINGHAM, JONATHAN B",122
699,"CLIFFORD, CLARK",122
700,"HORMAN, CHARLES",122
701,"KAZANSKIY, ARKADIY NIKOLAYEVICH",122
702,"NARAINE, PATRICIA",122
703,"SHULTZ, GEORGE",122
711,"FLEENER, TERRE",121
709,"DUVALIER, JEAN-CLAUDE",121
712,MALIK,121
710,"EL KHAIRY, EVELYN BIRGITTE",121
706,CALLAGHAN,121
708,"CHIN, ALEXANDRE JOHN",121
704,"BOWDLER, WILLIAM G",121
705,"BURNS, MICHAEL A",121
707,"CHAMOUN, CAMILLE",121
716,"HALL, DAVID",120
718,"VAN LENNEP, EMILE",120
717,"PINDLING, LYNDEN O",120
719,"YOUNG, MAZELL",120
715,"ESCOVAR SALOM, RAMON",120
714,"CARTER, HODDING III",120
713,"BLUM, BARBARA",120
720,"BANK, RICHARD K",119
721,"GILMAN, BENJAMIN A",119
722,"LIEVANO AGUIRRE, INDALECIO",119
723,"MASTERS, EDWARD E",119
724,"MC MILLAN, DAVID RALPH",119
725,TRAORE,119
726,"VON STADEN, BERNDT",119
730,"HARTMAN, ARTHUR",118
732,"NORDLI, ODVAR",118
731,"NEGROPONTE, JOHN D",118
729,"FORD, BETTY",118
728,"CAMPBELL, STEVE",118
727,BENNETT,118
733,"BYRD, ROBERT",117
734,"FORLANI, ARNALDO",117
735,"JOBERT, MICHEL",117
736,"KUNIK, MARTIN",117
737,"SLACK, JOHN M",117
738,"TANAKA, KAKUEI",117
740,"CAGLAYANGIL, IHSAN SABRI",116
739,"BELLMON, HENRY",116
741,"HUMMEL, ARTHUR W",116
742,"LUNS, JOSEPH",116
743,"MAILLIARD, WILLIAM S",116
744,"SOBER, SIDNEY",116
745,"STOBBE, DIETRICH",116
751,SCHMIDT,115
749,"OLIVER, R SPENCER",115
750,"SADAT, ANWAR EL",115
746,"BIJEDIC, DZEMAL",115
748,NI,115
747,"GOLEMBIEKI, HELEN",115
752,"BUTMAN, HILLEL",114
753,"FAHMI, ISMAIL",114
754,SMITH,114
755,"VOLLBERG, JENNY C",114
756,WALDHEIM,114
761,"SILBERMAN, LAURENCE H",113
763,"STEFANSSON, FINNUR TORFI",113
762,"SOPHUSSON, FRIDRIK",113
759,"LARAKI, AHMED",113
760,"MCDANIEL, JOANN",113
758,"COSGRAVE, LIAM",113
757,"ACHEAMPONG, IGNATIUS KUTU",113
768,"JAWARA, DAWDA KAIRABA",112
771,"WALKER, DAVID",112
770,"PRIGGS, HARRY JOHN",112
769,"ORFILA, ALEJANDRO",112
766,"GUTHRIE, PERRY AUGENE",112
767,"HARRELL, JAMES",112
765,"DE VARONA, ANTONIO",112
764,"APEL, HANS",112
772,"CARL, JAMES E",111
773,HUANG CHEN,111
774,"NAIM, MOHAMMAD",111
775,"ROMERO MENA, CARLOS HUMBERTO",111
776,"THANI, KHALIFA IBN HAMAD AL",111
777,"WARNKE, PAUL",111
787,"VINS, GEORGI",110
783,POL POT,110
786,"STABLER, WELLS",110
785,"SISCO, JOSEPH",110
784,"SCHWAGER, BRIAN",110
779,"GOWON, YAKUBU",110
782,NE WIN,110
780,"HASSAN, CROWN PRINCE",110
778,CHIN HARN TONG,110
781,"HAWKINS, AUGUSTUS F",110
792,HARTMAN,109
794,"MATTHEWS, WILLIAM",109
793,"JOHNSON, U ALEXIS",109
795,"SOLZHENITSYN, ALEKSANDR I",109
791,"GELB, LESLIE H",109
790,"FERK, FRANK",109
789,ECEVIT,109
788,"CAMPBELL, JAMES F",109
796,"DANENZA, VICTOR",108
797,"MITTERRAND, FRANCOIS",108
798,"SEMENOV, V S",108
799,"UNGER, LEONARD",108
800,"YODER, DELILAH",108
807,"HARRELL, JAMES J",107
811,"WALLENBERG, RAOUL",107
810,"SADAT, ANWAR AL",107
809,"REINHARDT, JOHN E",107
808,LIP SANANIKONE,107
802,"BENNETT, W TAPLEY JR",107
806,"GAMASY, MOHAMED ABDEL GHANI",107
805,"FASCELL, DANTE B",107
804,"CUDLIPP, IVY LEE",107
803,"BRYEN, STEPHEN",107
801,"AL-HAMDI, IBRAHIM",107
820,KONGKHAM PATHAMMAVONG,106
827,"WILLS, FREDERICK R",106
826,"URQUHART, BRIAN",106
825,TITO,106
824,"STEVENSON, ADLAI E",106
823,"SHANNON, JOHN J",106
822,"NABE, MAMADI",106
821,MOBUTU,106
816,"CAMPBELL, STEVEN C",106
819,KEO SENESOMBATH,106
818,"GOMES, COSTA",106
817,CHUA YONG HAI,106
815,"BELL, GRIFFIN",106
814,"ASAD, HAFIZ AL",106
813,"AL IMAM, SALIM CHAKIR",106
812,"AHMED, AZIZ",106
841,"ZENZ, KATHERINE",105
840,"WALKER, LANNON",105
839,"VINE, RICHARD D",105
838,"STRAUSZ-HUPE, ROBERT",105
837,SOUPHANOUVONG,105
836,"PADELFORD, EDWARD A",105
835,MOHAMMAD ALI MORAD,105
834,"LEFEVRE, LOUIS",105
833,"KOBB, KATHRYN L",105
832,"HARTLING, POUL",105
831,"HANSELL, HERBERT J",105
830,HAN CHENG FONG,105
829,FAHMY,105
828,"BAGAZA, JEAN-BAPTISTE",105
850,"KADAR, JANOS",104
856,"TOTH, LASZLO",104
855,"PEREIRA, ARISTIDES",104
854,"PEACOCK, ANDREW S",104
853,"PATTERSON, P J",104
852,"MOORE, FRANK",104
851,LEE EK TIENG,104
846,"CHILES, LAWTON",104
849,"GOHEEN, ROBERT F",104
847,FOO MENG LIANG,104
842,"BUSH, GEORGE",104
845,"CHEW GUAN KHUAN, ANDREW",104
844,CEAUSESCU,104
843,"CARLIN, JAMES L",104
848,"GAIRY, ERIC M",104
861,"MEISSNER, CHARLES",103
864,"SANDLER, SEMYON",103
863,"SANDLER, BETYA",103
862,PROM SAROEUN,103
865,"SANDLER, SVETLANA",103
860,"MARSHALL, F RAY",103
859,"FRENZEL, STANLEY",103
858,"FRANGIE, SLEIMAN",103
857,"BOLEN, DAVID B",103
875,"VANDERWEES, GERRY",102
874,"SCHEIN, ANN",102
873,"REAGAN, RONALD",102
872,"RAY, MICHAEL HARVEY",102
871,"MURRAY, JAMES",102
870,"LAUGERUD GARCIA, KJELL",102
869,"JENKINS, TERESA ANN",102
868,"EBAN, ABBA",102
867,"DIAZ WILSON, RAFAEL O",102
866,"BROOKS, JACK",102
881,"KELLEY, WILLIAM",101
886,"TRAMUTOLO, JAMES A",101
885,"RIPLEY, S DILLON",101
884,NON BUNNATHY,101
882,"MOLINA ORANTES, ADOLFO",101
883,NGUYEN VAN THIEU,101
880,"HAM, BRADFORD W",101
879,"GOOD, ROBERT",101
878,"FRASER, MALCOLM",101
877,"ELEKDAG, SUKRO",101
876,DALAI LAMA,101
887,"CHNOUPEK, BOHUSLAV",100
888,"HORMATS, ROBERT",100
889,"VILLEGAS, GEORGE G",100
894,MILLER,99
896,"TOUSSAINT, DONALD R",99
895,"RAJARATNAM, SINNATHAMBY",99
892,"DENG, FRANCIS",99
893,"HUMMEL, ARTHUR W JR",99
891,"BAKKE, KARL E",99
890,"BAEZ, JOAN",99
903,"GREEN, ERIC D",98
908,"WOLF, MILTON A",98
907,"WALKER, WILLIAM",98
906,VU VAN HOA,98
905,"TURKI, PRINCE",98
904,"SAMOZA DEBAYLE, ANASTASIO",98
899,BHUTTO,98
902,"GOODBY, JAMES E",98
901,"GAIRY, ERIC",98
900,"BOUSNINA, KACEM",98
898,"BERRY, JOHN E",98
897,"ASPIN, LES",98
918,"MAVROS, GEORGE",97
926,"WRIGGINS, W HOWARD",97
925,"TRAIN, RUSSELL E",97
924,SUDJATMIKO,97
923,"STAWICZYK, ANNA",97
922,"SEPAHBODY, FARHAD",97
920,"PEARSON, JAMES B",97
919,"PARSKY, GERALD L",97
921,"SCHWEBEL, STEPHEN M",97
917,"MACEACHEN, ALLAN",97
915,"KHALIL, MUSTAFA",97
909,BEE VUE,97
914,"HUGHES, CLEDWYN",97
913,"GREAVES, CEDRIC",97
912,"GOULD, FRANK",97
911,"EKLUND, SIGVARD",97
910,"BOWEN, DAVID R",97
916,LOPEZ,97
931,"REDMOND, RICHARD",96
934,WU TEH,96
933,"STAMBUL, MOCHAMMAD IWAN",96
932,"SPINOLA, ANTONIO",96
930,"OAKLEY, ROBERT",96
929,"MCCOY, LEE",96
928,CHHUT CHHOEUR,96
927,"AGUILAR, ERIC WAYNE",96
942,"KHERSONSKY, MIKHAIL",95
948,"NYFELER, JOHN V",95
947,"NORMAN, EVELYN",95
946,"MOORE, JOHN L JR",95
945,"MINK, PATSY T",95
944,KIM IL SUNG,95
943,"KHERSONSKY, MIKHAIL [Sensitive Information Removed Per NARA 07 Jan 2016]",95
937,"CHARITON, ARTHUR",95
941,"JONATHAN, LEABUA",95
940,"JALLUD, ABD AL-SALAM",95
939,GENSCHER,95
938,"DALY, EDWARD J",95
936,"BOSCH, ORLANDO",95
935,"BONKER, DON",95
957,"POWERS, MARION",94
964,"TOGO, FUMIHIKO",94
963,"THURMOND, STROM",94
962,SOARES,94
961,"SINGH, KEWAL",94
960,"SHADRIN, NICHOLAS",94
959,SEK TEOM,94
958,SCHAUFELE,94
955,"ORTOLI, FRANCOIS-XAVIER",94
956,"PELOSI, SHEILA J",94
954,"O\'NEILL, THOMAS P JR",94
953,"MATHIAS, CHARLES MCC JR",94
952,LI WEN HUAN,94
951,"KAZICKAS, ALEXANDER KESTUTIS",94
950,CHIAO KUAN-HUA,94
949,"BLAKE, JAMES J",94
984,"ZARB, FRANK G",93
983,WILSON,93
982,"VELASCO ALVARADO, JUAN",93
981,"STREEB, GORDON",93
980,"SADR, BANI",93
979,"ROSS, VIRGINIA",93
978,"RIRUAKO, KUAIMA",93
977,"POPOV, IVAN",93
976,"NYERERE, JULIUS",93
975,"MWALE, SITEKE",93
974,"MCDONALD, ALONZO L",93
968,"CHEYSSON, CLAUDE",93
973,"KAMEL, MOHAMMED IBRAHIM",93
966,"BREZHNEV, LEONID IL\'ICH",93
967,CARAMANLIS,93
965,"BLACK, SHIRLEY TEMPLE",93
969,"CONNOR, WALKER",93
970,"GHOTBZADEH, SADEGH",93
971,"HALLGRIMSSON, GEIR",93
972,"HAYAKAWA, S I",93
1001,"VAN KIRK, BURKETT",92
1000,"SHULMAN, MARSHALL",92
999,"SAKHAROV, ANDREI",92
998,"PARK, REVEREND",92
994,"LAKE, ANTHONY",92
997,"ORLOV, YURIY",92
996,"NOIR, P",92
995,"LIEN, N B",92
989,"COLOR, BETTY",92
993,HUA GUOFENG,92
991,"HASSAN, PRINCE",92
990,"DOERING, KARL",92
988,"CARLUCCI, FRANK C",92
987,"BUKOVSKY, VLADIMIR",92
986,BICH LIEN NGUYEN,92
985,"ANTUNES, MELO",92
992,"HILL, ROBERT C",92
1007,"SMITH, MICHAEL B",91
1010,"TURBAY AYALA, JULIO CESAR",91
1009,"STARR, SUSAN",91
1008,"SPIERS, RONALD I",91
1006,"RAMSBOTHAM, PETER",91
1005,"MAW, CARLYLE E",91
1004,"KODJO, EDEM",91
1003,"IKLE, FRED C",91
1002,"BATES, JONATHAN",91
1019,KIFLE WODAJO,90
1026,"ULLMAN, AL",90
1025,"QABOOS, SULTAN",90
1024,"POPPER, DAVID H",90
1023,"PEACOCK, ANDREW",90
1022,PAO YANG,90
1021,O'NEILL,90
1020,"MORGAN, THOMAS",90
1027,"WRIGHT, JIM",90
1018,"GOLDMAN, DANIEL",90
1016,"ENGERMAN, MARK STANTON",90
1015,CHIANG CHING,90
1014,"CASEY, WILLIAM",90
1013,"BLANCO, JUAN CARLOS",90
1012,"ASSAD, HAFIZ",90
1011,"ACHOUR, HABIB",90
1017,"FITZGERALD, GARRET",90
1033,SHULTZ,89
1035,"WILSON, CHARLES",89
1034,"SMITH, IAN D",89
1032,"RICHARDSON, WILLIAM",89
1031,"MEISSNER, CHARLES F",89
1030,"BORGONOVO POHL, MAURICIO",89
1029,"BINGHAM, JONATHAN",89
1028,"BAHR, EGON",89
1045,MARTIN,88
1053,WOLFF,88
1052,"WHITLAM, GOUGH",88
1051,"TORRIJOS, OMAR",88
1050,"SINGH, SWARAN",88
1049,"ROBINSON, CHARLES",88
1048,"REVELEY, JACOB HARRIS",88
1047,"MORGAN, THOMAS E",88
1046,"MORALES BERMUDEZ CERRUTTI, FRANCISC",88
1040,"ENGLISH, RONALD GEORGE",88
1044,"LYNCH, JACK",88
1043,"LONG, RUSSELL B",88
1042,"HORMATS, ROBERT D",88
1041,"FRASER, DONALD",88
1039,CHIANG KAI-SHEK,88
1038,"BOUCETTA, M\'HAMED",88
1037,"BAKALIS, KATINA DEMETRIOS",88
1036,"BAKALIS, KATENA DEMETRIOS",88
1067,"WOJTASZEK, EMIL",87
1066,TRAN HON THO,87
1065,"SUJARWO, ANTON",87
1064,"STOEN, JOHN VICTOR",87
1063,"MASON, ROY",87
1062,"MALMIERCA PEOLI, ISIDORO OCTAVIO",87
1061,"LOWENSTEIN, ALLARD",87
1060,KHIEU SAMPHAN,87
1058,"GARBA, JOSEPH",87
1057,DOAN THI TU,87
1056,"DENNIS, C CECIL JR",87
1055,"DAVIS, ALBERT LEE",87
1054,"BELOVSKI, DIMCE",87
1059,"KHALID, MANSOUR",87
1072,"KAY, EMMET",86
1076,"TIMERMAN, JACOBO",86
1075,"STARR, LYNNE",86
1074,"PETREE, RICHARD",86
1073,"MOFFITT, RONNIE",86
1071,"CARLOS, JUAN",86
1070,"BLANCHARD, FRANCIS",86
1069,"ASSAD, HAFIZ AL",86
1068,"ABRAMOWITZ, MORTON I",86
1086,NIMEIRI,85
1093,"YAMIN, ZUHAIR",85
1092,"WALTERS, BARBARA",85
1091,"TSONGAS, PAUL",85
1090,"TOLBERT, WILLIAM R JR",85
1089,"SMITH, ROBERT S",85
1088,"SALZMAN, HERBERT",85
1087,"PORTER, WILLIAM J",85
1080,"BOWDLER, WILLIAM",85
1085,MARCOS,85
1084,"HAMEED, A C S",85
1083,"HAIG, ALEXANDER",85
1082,FACIO,85
1081,ELIZABETH II,85
1079,"BENNET, DOUGLAS J JR",85
1078,BAY,85
1077,"ARAFAT, YASSIR",85
1101,"MCCLURE, JAMES A",84
1106,"WIDMAN, MARY LEE",84
1105,"WALLACE, OSCAR L",84
1104,"TENG-FA, YU",84
1103,"STOEL, MAX VAN DER",84
1102,"SALIH, ALI ABDALLAH",84
1095,"EAGLEBURGER, LAWRENCE S",84
1100,"LOPEZ ARELLANO, OSWALDO",84
1098,"GUNES, TURAN",84
1097,"GROMYKO, ANDREY",84
1096,"FISCHER, OSKAR",84
1094,"ALI, LATIF",84
1099,LI HSIEN-NIEN,84
1114,"NIXON, RICHARD",83
1121,"WHITEHOUSE, CHARLES S",83
1120,"WEIL, FRANK A",83
1119,SISANOUK SAYCOCIE,83
1118,"SAPENA PASTOR, RAUL",83
1117,"POMPIDOU, GEORGE",83
1116,"PETKUS, VIKTORAS",83
1115,"PAUL VI, POPE",83
1113,"MKAPA, BENJAMIN",83
1112,LON NON,83
1111,"HUGHES, THOMAS VINCENT",83
1110,"HENDERSON, DAVID",83
1109,"DRINAN, ROBERT F",83
1108,"DE HAAN, DALE",83
1107,"CARTER, JAMES",83
1130,"HARKIN, TOM",82
1136,"PAHLAVI, MOHAMMAD REZ",82
1135,"OKCUN, GUNDUZ",82
1134,NGUYEN MINH TAM,82
1133,"MILTON, DAVID V",82
1132,"JUMBE, ABOUD",82
1131,"JAROSZEWICZ, PIOTR",82
1127,FULBRIGHT HAYS,82
1129,"GUZMAN, ANTONIO",82
1122,"AL-HOSS, SALIM AHMAD",82
1126,"FARKAS, RUTH LEWIS",82
1125,"EDMONDSON, WILLIAM B",82
1124,"CALIFANO, JOSEPH",82
1123,"BERLINGUER, ENRICO",82
1128,"GLEYZER, RAYMUNDO",82
1154,SILVEIRA,81
1150,"NEUMANN, FRANCIS",81
1151,"PLANK, GERALD ALLEN",81
1152,"POLLACK, DANIEL",81
1153,"SCOTT, DAVID",81
1157,"TACK, JUAN ANTONIO",81
1155,SPINOLA,81
1156,"STOLAR, ABE",81
1148,"HUSSEIN, KING",81
1159,"WILDER, ROSALYN ELAINE",81
1149,"MAKARIOS, ARCHBISHOP III",81
1158,"VOLPE, JOHN A",81
1147,"HESS, RUDOLPH",81
1141,"BROWN, WILLIAM A",81
1146,"HAYES, WILLIAM",81
1137,"BENDJEDID, CHADLI",81
1139,"BRADLEY, THOMAS",81
1140,"BROWN, ROBERT J",81
1138,"BOEKER, PAUL H",81
1142,"CLOSE, JACK LAVERNE",81
1143,"GEMAYEL, PIERRE",81
1144,"GRIBBIN, GARY",81
1145,"GRIBBIN, GEORGE G",81
1170,"HARRIMAN, W AVERELL",80
1178,"ZAHEDI, ARDESHIR",80
1177,"WU, MING-CHI",80
1176,VONG KHIN,80
1175,"SOLAUN, MAURICIO",80
1174,"SINDONA, MICHELE",80
1173,SADAT,80
1172,"PORTILLO, JOSE LOPEZ",80
1171,"LAINO, DOMINGO",80
1167,"FUQUA, DON",80
1169,"GROVE, THOMAS ARTHUR",80
1168,"GOODWIN, PATRICIA MCGINNIS",80
1166,"EVENSEN, JENS",80
1165,"ENGO, PAUL",80
1164,EASUM,80
1163,"DEAN, CHARLES M",80
1162,"CARTER, ROSALYN",80
1161,"BREZHNEV, LEONID ILICH",80
1160,"BAAS, BRYAN H",80
1187,"RAHMAN, MUJIBUR",79
1193,"VANDEN HEUVEL, WILLIAM J",79
1192,TRANG THOAI MINH,79
1191,"SIMON, PAUL",79
1190,SANYA THAMMASAK,79
1189,"ROSENTHAL, BENJAMIN",79
1188,"REEDY, GEORGE",79
1194,"VINCENTE, ANTONIO",79
1186,"PIERSON, CHARLES LINDBERG",79
1181,ENDERS,79
1179,"AL-KAISSI, FAWZI ABDULLAH",79
1180,"DIAZ NUILA, NAPOLEON",79
1185,"LANE, GEORGE M",79
1182,"HAMILTON, LEE H",79
1183,"HANNON, JOHN C",79
1184,"HUNTER, ROBERT",79
1204,"ROBERTO, HOLDEN",78
1212,WILLIAMS,78
1211,"TURNER, WILLIAM C",78
1210,"TARDOS, ROBERT",78
1209,TANAKA,78
1208,"SMITH, KENNETH STEVEN",78
1207,"SINGH, CHARAN",78
1206,SHOUA XIONG,78
1205,SCOTT,78
1203,"QADHAFI, MUAMMAR",78
1202,MAKARIOS III,78
1201,"KALMAN, ERIKA",78
1200,"HAFERKAMP, WILHELM",78
1199,GROMYKO,78
1198,"DE LEO, A J",78
1197,"DE LA PUENTE RADBILL, JOSE",78
1196,"CURTIS, GUSTAVO",78
1195,"BRUECKMANN, INGRID",78
1221,"KATZ, JULIUS",77
1228,"WELLS, MELISSA",77
1227,"SIEDE, MICHAEL HENRY",77
1226,"RUSH, KENNETH D",77
1225,"POOL, MARYA ANNE",77
1224,"OWEN, DAVID A L",77
1222,"MAIMONE, MARIO VICTOR",77
1223,"MCCLELLAN, IRINA",77
1220,"HAYS, WAYNE",77
1218,"DYKES, WILLIAM R",77
1217,"DANFORTH, JOHN C",77
1216,"CRIZ, HENRY",77
1215,"CLEMENTS, WILLIAM P",77
1214,"BLUMENTHAL, MICHAEL",77
1213,"BIBBERO, MARTIN HERBERT",77
1219,"FRANQUI, NICOLAS",77
1243,"PORECHNIY, ALEKSANDER MIKHALOVICH",76
1241,"OWEN, HENRY",76
1242,"PERTINI, ALESSANDRO",76
1247,"WILLIAMS, HARRISON A",76
1244,"STEVENS, TED",76
1245,THIEU,76
1246,"VAN VOORST, BRUCE",76
1238,"MARTIN, EDWIN M",76
1239,"MENDELEVICH, IOSIF",76
1240,"MURPHY, JOHN",76
1237,"LIMANN, HILLA",76
1235,"GUIRINGAUD, LOUIS DE",76
1234,"GALLAGHER, CHARLES D",76
1233,"DEHAAN, DALE",76
1232,"COREA, GAMANI",76
1231,"BOTHA, P W",76
1230,"BISHOP, MAURICE",76
1229,"BIAGGI, MARIO",76
1236,"JOHNSON, ALBERT",76
1266,"POVEDA BURBANO, ALFREDO",75
1261,"LANG, JANET A",75
1262,"LAPPEMAN, EDMOND H",75
1264,"NOIR, PIERRE",75
1265,"PEZZULLO, LAWRENCE A",75
1270,"WINDBURY, JOHN",75
1267,"SHARMAN, NEIL",75
1268,"TOWER, JOHN",75
1269,"VORSTER, BALTHAZAR",75
1259,"KARAME, RASHID",75
1260,KIM DONG JO,75
1263,"MANN, JAMES R",75
1258,"GOLDBERG, ARTHUR",75
1253,"CASTRO, RAUL",75
1257,"FELDMAN, MARILYN",75
1250,"ANDERSON, JOHN B",75
1251,"ANDERSSON, SVEN",75
1252,"CAMPBELL, LEN",75
1249,"AMSTER, GERALD",75
1254,"DAOUD, ABU",75
1255,"DE LA TORRE, EDICIO",75
1248,"ALMEIDA BOSQUE, JUAN",75
1256,"DUDU, MARIA-CARMINA",75
1282,"KHALATBARI, ABBAS ALI",74
1292,"VAN WELL, GUENTHER",74
1291,"SWAIT, THEREZINHA P",74
1289,PARK,74
1288,"PARDO, ROGELIO",74
1287,NEWSOM,74
1286,"MAYNES, C WILLIAM",74
1285,"LUPO, FRANK",74
1284,"LUCEY, PATRICK J",74
1283,"KIRK, NORMAN E",74
1290,SOMOZA,74
1281,"KEMP, BRUCE",74
1275,"FLOWERS, WALTER",74
1273,"EVRON, EPHRAIM",74
1271,"BRUNGART, ROBERT",74
1274,"FERNANDEZ FONT, MARCELO",74
1272,"DICKMAN, FRANCOIS M",74
1276,"GIURATO, ALBERT L",74
1277,"GLEYSTEEN, WILLIAM H JR",74
1278,"HEGINBOTHAM, ERLAND",74
1279,"INGERSOLL, ROBERT",74
1280,"JELJASZEWICZ, JANUSZ",74
1303,"DOHERTY, MARGARET",73
1311,VANCE,73
1310,UPPADIT PACHARIYANGKUN,73
1309,SIMON,73
1308,RICHARDSON,73
1307,"PATRICK, DOUGLAS LEE",73
1306,"MAREVA, YORDANKA",73
1305,"JETT, JOYCE M",73
1304,JACKSON,73
1301,"DE MELLO, SYLVIA",73
1302,"DIENSTBIER, JIRI",73
1299,BROWN,73
1298,"BOWERS, JEFFREY W",73
1297,"BLUM, JACK",73
1296,"BIDEN, JOSEPH",73
1295,ANTAKYA THREE,73
1294,"ANDERSEN, KNUD BORGE",73
1293,"ADDERLEY, PAUL L",73
1300,"COLLINS, CARDISS",73
1326,SCHLESINGER,72
1323,"RODRIGUEZ LARA, GUILLERMO A",72
1324,"ROWLANDS, TED",72
1325,SCALI,72
1330,"ZAMBRANO VELASCO, JOSE ALBERTO",72
1327,"SHADRIN, NICHOLAS G",72
1321,"NOEL, JOHN VAVASOUR",72
1329,"TALBOYS, BRIAN E",72
1322,"OAKLEY, ROBERT B",72
1328,"STEBBINS, ROBERT",72
1320,"MARA, KAMISESE",72
1318,"KAPLAN, KAREN SUE",72
1317,"JACKSON, JESSE",72
1316,"HINTON, DEANE R",72
1315,"GUNDELACH, FINN",72
1314,"BURNS, ARTHUR",72
1313,"BLACKWELL, ROBERT J",72
1312,"ARRON, HENCK",72
1319,"KORUTURK, FAHRI",72
1351,"PODGORNY, NIKOLAY VIKTOROVICH",71
1347,"MALMIERCA PEOLI, ISIDORO",71
1348,NASSRY ZIA,71
1349,NENG XIONG,71
1350,NGUYEN CO THACH,71
1356,"WEISSMAN, MARVIN",71
1352,"POWELL, DONALD LYNN",71
1353,"STEVENSON, ADLAI E III",71
1354,"VILLAGRAN KRAMER, FRANCISCO",71
1355,"WALKER, WILLIAM N",71
1344,"KESSEL, BARNEY",71
1346,"KYLE, ALAN",71
1345,KIM TAE CHUNG,71
1343,KEO HOEUN,71
1337,"CARVAJAL PRADO, PATRICIO",71
1331,AHMAD ZIA,71
1333,"ASHLEY, THOMAS L",71
1334,"BAZARGAN, MEHDI",71
1335,"BEIL, GERHARD",71
1336,"BURG, YOSEF",71
1332,"ANDERSON, ROBERT",71
1338,DEAN KARMAND,71
1340,GAMASY,71
1341,"HUTCHINSON, BARBARA",71
1342,ISAQ SAFI,71
1339,"ESENBEL, MEHIH",71
1376,"RICHMOND, FREDERICK W",70
1372,"LAMIZANA, ABOUBACAR SANGOULE",70
1373,"LEGGETT, ROBERT L",70
1374,"MAREI, SAYED",70
1375,"PRITCHARD, JOEL",70
1379,"STEWART, RUSSELL S",70
1377,"ROBELO, ALFONSO",70
