id,name,frequency
1378,"SCHAUFELE, WILLIAM",70
1380,TRUONG MUI KIA,70
1381,XIONG CHEUKOUA,70
1370,"GRIFFITH, L S",70
1371,"HODGSON, JAMES D",70
1359,"BEKELE, TIBABU",70
1369,ECHEVERRIA,70
1362,"BYRD, HARRY F JR",70
1368,"DOLE, ROBERT",70
1357,"ADAMS, J M G",70
1358,"ALDRICH, GEORGE H",70
1361,"BROH-KAHN, JERE",70
1360,"BINAISA, GODFREY",70
1363,CHOR KIM THOR,70
1364,"CLARK, WILLIAM",70
1365,"COLONEL, EDWARD MICHAEL",70
1366,"COOPER, JOHN SHERMAN",70
1367,"DA SILVA, MANUEL M",70
1405,"ROY, J STAPLETON",69
1399,"MARKS, LEONARD",69
1400,"MELGAR CASTRO, JUAN ALBERTO",69
1401,"ORSINI, DOMINIQUE",69
1402,"PAPANDREOU, ANDREAS",69
1403,"PEREZ GUERRERO, MANUEL",69
1404,PHICHAI RATTAKUN,69
1412,"WAKEMAN, STEVEN D",69
1407,"SHADRIN, NICHOLAS GEORGE",69
1408,"SIKES, ROBERT",69
1409,VAN DER STOEL,69
1410,"VAN ELSLANDE, RENAAT",69
1411,VELASCO,69
1397,"HUMPHREY, HUBERT",69
1398,"LONG, GILLIS",69
1406,"SCHUETZ, KLAUS",69
1396,"HELMS, RICHARD",69
1382,"BADRAN, MUDHAR",69
1395,"HEDDA, ALI",69
1384,"BROOKE, EDWARD W",69
1385,"BURGER, WARREN",69
1386,"CARTER, CHIP",69
1387,"CASTRO, RAUL H",69
1388,"CUNHAL, ALVARO",69
1383,BITSIOS,69
1389,"DAVIDOW, JOEL",69
1391,"EGAN, JOHN P",69
1392,"EILTS, HERMANN FREDERICK",69
1393,"GUEGAM, GRIGORIAN",69
1394,"HEALEY, DENIS",69
1390,"DIOUF, ABDOU",69
1434,"SECK, ASSANE",68
1429,"MURPHY, STEPHEN",68
1430,"NEAL, RICHARD W",68
1431,"PERON, MARIA ESTELA MARTINEZ DE",68
1432,"SARKIS, ILYAS",68
1433,"SCOTT, WILLIAM L",68
1438,"VERA, DEBORAH LYNN",68
1435,"STEVENSON, ALDEN",68
1437,THANIN KRAIWICHIAN,68
1439,"VIRATA, CESAR",68
1440,"WILLS, FRED",68
1427,"MEZVINSKY, EDWARD",68
1428,"MURPHY, CHRISTOPHER",68
1436,"TALADRID, RAUL",68
1426,"MCRARY, CLIFFORD THOMAS",68
1419,"CLEMENTS, WILLIAM P JR",68
1414,"ARTUKOVIC, ANDRIJA",68
1415,"ATHERTON, ALFRED",68
1417,BODNNAK LAVONGSAR,68
1413,"ADDIS, JOHN L",68
1418,"CAUAS, JORGE",68
1416,"BARNES, HARRY G JR",68
1420,"DENMAN, ROY",68
1421,"GUEVARA VALDES, ALFREDO",68
1422,HASSAN GOULED APTIDON,68
1423,"HICKERSON, GERALDINE CLARK",68
1424,"LOMBARDO, FAUSTO",68
1425,"MANSBACH, B THOMAS",68
1450,"MESTANAS, STEVE SOTERIOS",67
1459,"WEITZMAN, DENNIS JAY",67
1458,VORSTER,67
1457,"VIGNES, ALBERTO JUAN VICENTE",67
1456,"SODER, KARIN",67
1455,"SHCHARANSKY, ANATOLY",67
1454,SENI PRAMOT,67
1453,SENGHOR,67
1452,RABASA,67
1451,PHAM VAN DOI,67
1449,KIM IL-SONG,67
1447,"KEELEY, ROBERT V",67
1446,"JAY, PETER",67
1445,"HALDORSEN, BERIT",67
1444,"GREGORIE, ROBERT K",67
1443,"ENRILE, JUAN PONCE",67
1442,"DEGREGORY, ANTHONY",67
1441,"BORRE, PETER",67
1448,KIM DAE JUNG,67
1484,"SEDMAK, MICHAEL",66
1478,"PRICE, GEORGE C",66
1479,"RAY, DIXY LEE",66
1480,"RAY, P H",66
1481,"SANDO, TORSTEIN",66
1482,SAUVAGNARGUES,66
1483,"SCHNEIDER, MARK L",66
1488,VANG THAO,66
1485,"SHARANSKY, ANATOLY",66
1486,SOBHUZA II,66
1487,"VAN DER KLAAUW, CHRISTOPH",66
1489,"VERA, KAREN JANICE",66
1490,"WIDEMAN, BERNARD",66
1476,"OJEDA PAULLADA, PEDRO",66
1477,OXMAN,66
1465,"FULBRIGHT, J W",66
1475,"MORGAN, ROBERT",66
1467,"HERRERA, TRINIDAD",66
1461,"BUTCHMAN, ALAN",66
1463,"CORVALAN, LUIS",66
1464,"FREEMAN, CONSTANCE",66
1460,"BORDE, KETIL",66
1466,"GINZBURG, ALEXANDER",66
1462,"BYROADE, HENRY A",66
1468,"HJULSTAD, BRYNJULF",66
1472,"LUND, ROLF LASSE",66
1469,"JACOMET, ANDRE",66
1473,"MARCOS, IMELDA ROMUALDEZ",66
1474,"MICOMBERO, MICHEL",66
1471,"LASSOU, GOUARA",66
1470,"JOHNSEN, THOR ARILD",66
1503,"KATZ, JESSICA",65
1514,"WILLEMS, LEONARD",65
1513,"WALDMANN, RAYMOND J",65
1511,"SMITH, ROBERT P",65
1510,"SIMONSEN, MARIO HENRIQUE",65
1509,"ROMANO, RICHARD",65
1508,"RENOUF, ALAN",65
1507,"MATHIAS, CHARLES MCC",65
1506,"MALMGREN, HARALD B",65
1505,"LODGE, HENRY CABOT",65
1512,"SULLIVAN, LEON",65
1504,"LEE, CAROL A",65
1502,"JORDEN, WILLIAM J",65
1495,"BUCHHEIM, ROBERT",65
1501,"GONZALEZ, FELIPE",65
1491,[SENSITIVE INFORMATION REMOVED PER NARA 08 APRIL 2013],65
1493,"AMOUZEGAR, JAMSHID",65
1494,"BIRNIE, WILLIAM E",65
1492,"AHMED, FAKHRUDDIN ALI",65
1496,"BUFFUM, WILLIAM B",65
1497,"DROBOT, JAN",65
1498,"EGLIN, COLIN",65
1499,"GEARHART, DANIEL",65
1500,"GELB, LESLIE",65
1542,"NOSONCHIK, KLAVDIA NEE LUPPA",64
1535,"LEIFLAND, LEIF",64
1536,"LINOWITZ, SOL",64
1537,"MEHTA, JAGAT",64
1538,"MICHALKE, RONALD",64
1539,"MORLEY, JOSEPH ALVIN",64
1533,"KONTOS, C WILLIAM",64
1541,"NGARNAYAL, MBAILEMDANA",64
1548,"SUJKA, BOGUMIL",64
1543,"NOSONCHUK, YAKOV",64
1544,"RAY, DIXIE LEE",64
1545,"RIBICOFF, ABRAHAM A",64
1546,"RUMOR, MARIANO",64
1547,"SCHNEIDER, DAVID T",64
1549,"TALLER, GLADYS",64
1550,"TOGOI, KAMIS",64
1551,"ZAMTATO, GANG-BANG",64
1534,"LAPPEMAN, EDMUND H",64
1540,"MUDGE, DIRK",64
1532,"KIRMISS, YOUSSOUBOMI",64
1522,"GALLAGHER, CHARLES",64
1531,"KERSTEN, OTTO",64
1515,"ABDELKADER, KAMOUGUE WADEL",64
1516,"AGGREY, O RUDOLPH",64
1517,"BLACK, H CLAY",64
1519,ESENBEL,64
1520,"EWING, ELDON EUGENE",64
1521,"FASCELL, DANTE",64
1518,"BRADEN, JOAN",64
1523,"GODLEY, G MCMURTRIE",64
1525,"HASKELL, FLOYD K",64
1526,"HEATH, EDWARD",64
1527,"HERSCHBERGER, JAMES",64
1528,"HOLLINGS, ERNEST",64
1529,"IRVING, FREDERICK",64
1530,"KENNEDY, DAVID",64
1524,"GONCALVES, VASCO",64
1568,"SAHEKI, AKIRA",63
1565,NDEZE MATABARO,63
1566,NGUYEN DUY TRINH,63
1567,OUPEKHA KEOMONGCHANH,63
1572,"ULLSTEN, OLA",63
1569,"SAYRE, ROBERT M",63
1570,"SCHULTZE, CHARLES",63
1571,"STANOVNIK, JANEZ",63
1563,"MOORE, JOHN L",63
1564,"MULDER, CONNIE",63
1562,"MCCORMACK, MIKE",63
1553,"AVEROFF, EVANGELOS",63
1561,"LOGAN, PAUL",63
1560,KAUNDA,63
1559,"HOLLINGS, ERNEST F",63
1558,"GUZMAN FERNANDEZ, SILVESTRE ANTONIO",63
1557,"GOMA, PAUL",63
1556,"DELL, EDMUND",63
1555,"CUBILLOS SALLATO, HERNAN",63
1554,"CARTER, HODDING",63
1552,ANDERSON,63
1596,"MURPHY, JOHN M",62
1595,"MORALES BERMUDEZ, FRANCISCO",62
1594,"MOFFETT, TOBY",62
1590,"LOUIS, VIKTOR",62
1593,"MICHEL, ROBERT H",62
1592,MEI-SHYA WANG,62
1598,"OXMAN, BERNARD H",62
1597,NGUYEN CHANH,62
1604,SISCO,62
1599,PINOCHET,62
1600,"PURDY, ELIZABETH ANNE",62
1601,"RICHARDS, BRENDA LEE",62
1602,RUMSFELD,62
1603,"SCIABICA, WILLIAM",62
1605,"WALIN, PAULA MARGARETA",62
1606,"WILLIAMS, COLVIN E",62
1591,"MCINTOSH, THOMAS",62
1580,"ENDICOTT, IRVING EUGENE",62
1589,"LEARSON, T VINCENT",62
1579,"DUFF, ANTHONY",62
1588,"LAMIZANA, SANGOULE",62
1573,"ALMEIDA, PRESCILIANA",62
1574,"AMERASINGHE, HAMILTON SHIRLEY",62
1575,"AST, HARRY",62
1576,"BOUTROS, FUAD GEORGES",62
1578,"DOBRYNIN, ANATOLY F",62
1577,"BYRNE, THOMAS R",62
1581,"EVANS, MARIAN VIRGINIA",62
1582,"FREW, GLADYS",62
1583,"GANLEY, OSWALD H",62
1584,"GINZBURG, ALEKSANDR",62
1585,HO CHU,62
1586,"HUMPHREY, RONALD LOUIS",62
1587,"KINDEM, HEATHER ANN MARIE",62
1629,"MAREVA, RUMYANA",61
1637,"RASHAD, RAAD M",61
1630,"MAYORGA, RAMON",61
1631,"MELOY, FRANCIS E",61
1632,"MILLER, GEORGE",61
1633,"MIMELES, SIDNEY COHEN",61
1634,MOORE,61
1635,NGO THI NGOC,61
1636,"NYE, JOSEPH S",61
1645,VILI NIELSEN,61
1638,"ROCKEFELLER, HAPPY",61
1639,"ROTH, WILLIAM V JR",61
1640,"SELDEN, ARMISTEAD I JR",61
1641,"SNADMAN, LEONARD",61
1642,"STAPLETON, RUTH CARTER",61
1643,"STEYN, MT",61
1644,STOESSEL,61
1646,"WILLIAMS, HARRISON A JR",61
1627,"LANDAU, GEORGE W",61
1628,"LOWENSTEIN, JAMES G",61
1608,"ARIAS NAVARRO, CARLOS",61
1626,LAM HENG MADI,61
1616,"GOLDWATER, BARRY",61
1625,"KENNEDY, JOHN F",61
1607,"ABRASIMOV, PYOTR",61
1609,"BATES, COLEMAN",61
1610,"BIN SHAKER, ZAYD",61
1612,"BURNHAM, FORBES",61
1613,CHANG HUA-MIN,61
1614,"CILURSU, ANNA C",61
1615,"GISCARD D ESTAING, VALERY",61
1611,BIRENDRA BIR BIKRAM SHAH DEV,61
1617,"GRAHAM, JOHN S",61
1619,"HARTH DENEQUE, ALBERTO",61
1620,"HARTKE, VANCE",61
1621,"HILL, ROBERT DALE",61
1622,"JOHNSON, LADY BIRD",61
1623,"JONES, LEON BURRIS",61
1624,"JOVA, JOSEPH J",61
1618,HAN HSU,61
1665,OHIRA,60
1661,"LIEBERMAN, DANIEL",60
1662,"MALMBORG, K E",60
1663,"MORSE, BRADFORD",60
1664,"O'NEILL, THOMAS P",60
1668,"SURHAYHAN, GIRAY",60
1666,"SCALI, JOHN",60
1667,"SIKES, ROBERT L F",60
1669,TRAN VAN SANG,60
1670,"WILLIAMS, F HAYDN",60
1659,KIM CHONG-PIL,60
1660,KIM IL-SUNG,60
1655,"GALE, ANN JEANETTE",60
1658,"HOROWITZ, DANIEL",60
1656,"GILLIGAN, JOHN J",60
1654,FRASER,60
1653,"CRAWFORD, FRANCIS JAY",60
1652,"CHAMORRO, PEDRO JOAQUIN",60
1651,"CAMARGO, ALBERT W",60
1650,"BUTTERFIELD, ALEXANDER P",60
1649,"BREWSTER, ROBERT C",60
1648,"BRAWER, PAUL",60
1647,"BAKHTIAR, SHAPOUR",60
1657,"HARRIS, PATRICIA ROBERTS",60
1689,"SCOTES, THOMAS J",59
1685,PHUMIPHON ADUNYADET,59
1686,"READ, BEN H",59
1687,"ROSENBLATT, PETER R",59
1688,"SANCHEZ, MANUEL GARZA",59
1695,"WHITE, ROBERT E",59
1690,"SHELTON, SALLY A",59
1691,TRAN QUOC BUU,59
1683,"MOSES, DON WAYNE",59
1693,"UMALI, D L",59
1694,VIGNES,59
1684,"OSMAN, AHMED",59
1692,U LA WON,59
1682,"MACAPAGAL, DIOSDADO",59
1675,"CARTER, FRANK STANLEY",59
1681,"KOSYGIN, ALEKSEY",59
1671,"AUBERT, PIERRE",59
1672,"BARTHOLOMEW, REGINALD",59
1674,"BINNENDIJK, HANS",59
1673,"BAYH, BIRCH",59
1676,"CASTILLO, GUSTAVO",59
1677,FRELINGHUYSEN,59
1678,"FULLERTON, FRED J",59
1679,"GARCIA BEDOYA, CARLOS",59
1680,"HURTADO, HECTOR",59
1721,"THOMAS, WILLIAM",58
1715,"MOORE, JOHN",58
1716,"NARAYAN, J P",58
1717,"NIXON, PAT",58
1718,"PARSONS, ARABY",58
1719,"QUAINTON, ANTHONY C E",58
1720,"SASSOU-NGUESSO, DENIS",58
1727,"YASUKAWA, TAKESHI",58
1722,"TOWER, JOHN G",58
1723,USSS,58
1724,VAN LENNEP,58
1725,"WENDT, E ALLAN",58
1726,"WHITE, ROBERT M",58
1712,"MCCONNELL, MICHAEL",58
1713,"MICHAELIDIS, MARIOS",58
1714,MOKTAR OULD DADDAH,58
1711,"MARWAN, ASHRAF",58
1703,"DAVIS, JOHN",58
1710,"LEIGH, MONROE",58
1697,BISENGIMANA,58
1698,"BODANSKY, VIKTOR",58
1699,"CARRILLO, SANTIAGO",58
1700,CASEY,58
1701,"CHAPMAN, CHRISTOPHER STEWART",58
1702,"DADDAH, OULD",58
1696,"ANDERSEN, K B",58
1704,"GRUSKHKO, FANYA",58
1706,"HUSAIN, TABARAK",58
1707,JAVITS,58
1708,"KERDIMUN, BORIS",58
1709,"KRAFT, WALTER F",58
1705,"HAMMER, ARMAND",58
1755,"RUSK, DEAN",57
1748,"NIXON, PATRICIA",57
1749,"NSEKALIJE, ALOYS",57
1750,"ONU, PETER",57
1751,"ORTIZ, FRANK V",57
1752,PARK CHUNG-HEE,57
1753,"RITHAUDDEEN BIN ISMAIL, AHMAD",57
1754,"ROLDOS AGUILERA, JAIME",57
1758,USTINOV,57
1756,"SCOTT, WILLIAM",57
1757,"SHELTON, SALLY",57
1759,"VAJPAYEE, ATAL BEHARI",57
1760,VON STADEN,57
1761,"WILLIAMS, WILLIAM H",57
1762,"ZAYID, IBN SULTAN",57
1746,MOUA LOR YANG,57
1747,"MURTOPO, ALI",57
1730,"AYALA LASSO, JOSE",57
1745,"MCNAMARA, ROBERT",57
1736,"FENWICK, MILLICENT",57
1728,"ADDABBO, JOSEPH P",57
1729,"AMECHAZURRA, ODETTE",57
1744,"MCGIFFERT, DAVID E",57
1731,"BALUGO, JAIME",57
1732,"BLUM, SUSAN",57
1733,BRAZINSKAS,57
1735,"DODSON, CHRISTINE",57
1734,"DEAN, CHARLES",57
1737,"GARCIA ROBLES, ALFONSO",57
1738,"IBRAHIM, HASSAN",57
1739,"JOHNSON, WILLIE E",57
1740,KIM DAE-JUNG,57
1741,"KUZNETSOV, EDWARD",57
1742,"LAINGEN, L BRUCE",57
1743,"LISSAKERS, KARIN",57
1783,"STEWART, BILL",56
1778,"POLITIS, TELPI R",56
1779,"RICHARDSON, JOHN",56
1780,"SAKHAROV, ANDREY",56
1781,"SHARON, ARIEL",56
1782,"SIMS, ALLEN GORDON",56
1776,MURPHY,56
1784,"TRIFA, VIOREL",56
1785,"USTINOV, DMITRIY F",56
1786,"VIETS, RICHARD N",56
1787,"WATSON, BARBARA M",56
1788,YU JUI-YEN,56
1777,NGO LOI,56
1767,"GHORBAL, ASHRAF",56
1775,"MOLINEAUX, PAUL L",56
1768,"HUBBARD, ROBERT",56
1774,"MCMICHAEL, JEAN",56
1764,"BURTON, PHILLIP",56
1766,"DAVISON, RONALD K",56
1763,"ALLEN, JEANNE A",56
1765,"CHISSANO, JOAQUIM",56
1769,"IDLET, N",56
1770,"KREGER, JAMES",56
1771,"LANGE, DAVID R",56
1772,"LULE, YUSUFU K",56
1773,"MANDEL, ALAN",56
1820,"SHARAF, ABDUL HAMID",55
1811,"MAYNES, CHARLES W",55
1812,"MCHUGH, T J",55
1814,"MODAI, YITZHAK",55
1815,"MULLER, JORGE",55
1816,"NELSON, BYRON DENNIS",55
1817,"NOSENZO, LOUIS V",55
1818,"O\'KENNEDY, MICHAEL",55
1819,"OCAMPO, MARIA L",55
1825,TRUDEAU,55
1821,SIAD,55
1822,SONNENFELDT,55
1823,"TARRADELLAS, JOSEP",55
1824,"TOTH, ROBERT",55
1809,"KING, DONALD R",55
1826,U LWIN MAUNG,55
1827,"USHIBA, NOBUHIKO",55
1828,"WATSON, BARBARA",55
1829,YU TENG FA,55
1810,"MATTINGLY, ALAN C",55
1813,MOBUTO SESE SEKO,55
1808,"KENNEDY, RICHARD T",55
1797,"DENNIS, C CECIL",55
1807,"JORDAN, BETTY ANN",55
1789,"ANDRES PEREZ, CARLOS",55
1790,"BEAVOGUI, LANSANA",55
1791,"BIDEN, JOSEPH R",55
1792,BONGO,55
1793,"BROWN, ROBERT",55
1795,"CARTER, W BEVERLY",55
1796,"CHRISTOPHIDES, IOANNIS",55
1794,"CALIFANO, JOSEPH A JR",55
1798,DINH TAN DANH,55
1803,"GERARD, SUMNER",55
1799,"DLAMINI, MAPHEVU",55
1805,HIROHITO,55
1804,"HABRE, HISSEN",55
1806,"JONES, BEVERLYE CICELIA",55
1802,"FRASER, MALCOLM J",55
1801,"DWYER, BRIAN A",55
1800,DOBRYNIN,55
1860,"SCHEUER, JAMES",54
1852,"NOVAK, ROBERT",54
1853,PATTERSON,54
1854,"PETERSON, RUSSELL W",54
1855,REPPAS,54
1856,ROBERTS,54
1857,ROSENTHAL,54
1858,"SA CARNEIRO, FRANCISCO",54
1859,"SAXBE, WILLIAM B",54
1850,"MCKINSTER, G S",54
1861,"SHARP, MITCHELL",54
1862,"SLOSS, LEON",54
1863,"SOMARRIBA SALAZAR, JAIME",54
1864,"SUAREZ, ADOLFO",54
1865,"THOMPSON, FRANK",54
1866,TORRIJOS,54
1867,"WILSON, BOB",54
1868,"YATES, SIDNEY R",54
1869,"ZENZ, KATHY",54
1851,"MLADENOV, PETUR",54
1835,"BUSHNELL, JOHN A",54
1849,"MANTEL, ROBERT",54
1839,"DWOR, LEONARD S",54
1848,"LAZARIS, VLADIMIR",54
1831,BANZER,54
1832,"BARNUM, JOHN W",54
1834,"BROWN, HALLA",54
1830,"ADAM, MARIA",54
1836,"CHEN, PING",54
1837,DAVIGNON,54
1838,"DE LABOULAYE, FRANCOIS",54
1833,"BOKASSA, JEAN-BEDEL",54
1840,"DYKES, WILLIAM",54
1842,"HART, GARY",54
1843,"INNISS, TYRONE",54
1844,"JARAMILLO, MARI-LUCI",54
1845,"KAUFMAN, RICHARD",54
1846,KIM CHI HA,54
1847,"LAYTON, DOROTHY",54
1841,"FELLER, EDUARDO",54
1907,"PAZ GARCIA, POLICARPO",53
1911,SAUL,53
1910,"SAEZ, RAUL",53
1909,"ROMANYUK, VYACHESLAV ANDREYEVICH",53
1908,"PEREDA ASBUN, JUAN",53
1903,"MOLINA BARRAZA, ARTURO ARMANDO",53
1906,"OULD DADDAH, MOKTAR",53
1905,"NEWHOUSE, JOHN",53
1904,"MOYLE, JOSEPH W",53
1902,"MEYNER, HELEN S",53
1901,"MC KRILL, DOUGLAS",53
1913,"SHAGARI, SHEHU",53
1912,"SEVILLA SIERO, ALVARO JOSE",53
1923,YANG LENG,53
1914,"SHAW, PATRICK",53
1915,"SHIHABI, HIKMAT",53
1916,"SIMIAO, JOANA",53
1917,"STEPHENS, TOMMY LEE",53
1919,"STRONGYLOS, JOHN CHRYSANTHOU",53
1920,TRAN BAN,53
1921,"VAN DOREN, CHARLES",53
1922,"WOODALL, JEAN",53
1899,"LYNN, JAMES T",53
1924,"YAZDI, EBRAHIM",53
1925,"YAZDI, IBRAHIM",53
1926,"ZARB, FRANK",53
1927,"ZIA-UL-HAQ, MOHAMMAD",53
1900,"MARTIN, GRAHAM",53
1918,"STRAUS, RICHARD",53
1898,"LUKOSHKIN, ALEKSEY KUZMICH",53
1883,"BORDABERRY AROCENA, JUAN MARIA",53
1897,"KULISHOV, VASILIY FYODOROVICH",53
1870,"[Sensitive Information Removed, NARA 3/01/2006]",53
1871,"[Sensitive Information Removed, NARA, 3/1/06]",53
1872,"AKINS, JAMES E",53
1873,"AL-SABAH, SABAH AL-AHMAD",53
1875,"ANTUNES, ERNESTO DE MELO",53
1876,"ARKHIPOV, VLADIMIR VASILYEVICH",53
1877,"ASENCIO, DIEGO C",53
1878,"BAKAREV, YURIY GRIGORYEVICH",53
1879,"BEDOYA, GARCIA",53
1880,"BELL, GRIFFIN B",53
1881,"BELOBROV, YA",53
1882,"BLOOMFIELD, RICHARD J",53
1874,"ANDERSON, JOHN",53
1884,"CAGLAYANGIL, ISHAN",53
1891,"FORSYTH, EDWARD B",53
1896,KAHARUDIN NASUTION,53
1885,"CHATTEN, BARRY KALANI",53
1895,"HANFF, KONSTANTY ZYGFRYD",53
1893,"GATES, THOMAS S",53
1892,"GARDNER, JOHN",53
1894,"GLEYSTEEN, WILLIAM H",53
1890,"FOKIN, B",53
1889,"FIGUERES, JOSE",53
1888,"DRISCOLL, DAVID J",53
1887,"DRAPER, MORRIS",53
1886,"COSTLE, DOUGLAS M",53
1951,"MOBERLY, PATRICK",52
1959,"SILVEIRA, ANTONIO AZEREDO DA",52
1952,"MURPHY, PAUL T",52
1953,"OLEWALE, EBIA",52
1954,"PAPADOPOULOS, GEORGE",52
1955,"RALLIS, GEORGIOS",52
1956,"ROWLING, WALLACE E",52
1957,"SASSER, JAMES R",52
1958,SIILASVUO,52
1965,"TZOUNIS, JOHN",52
1960,"SMITH, GERARD C",52
1961,"SMITH, JEAN PAUL",52
1962,"STOKES, LOUIS",52
1963,"SUHERMAN, GATOT",52
1964,"THOMAS, IRENE",52
1966,VUONG VAN BAC,52
1967,"WALUS, FRANK",52
1968,"WEISS, SEYMOUR",52
1949,"MAYNES, CHARLES WM",52
1950,"MCCAVITT, MARTIN E",52
1942,KIM TONG-CHO,52
1948,"MANESCU, MANEA",52
1936,"DAVIS, L M",52
1928,"AL-NUHAYAN, ZAYID IBN SULTAN",52
1947,"LUNT, LAWRENCE K",52
1930,"BISSELL, JANE",52
1931,"BLANCO, HUGO",52
1932,"BOTHA, ROELOF F",52
1933,"BYRNES, PAUL J",52
1934,"CAPTAIN, FARROKH",52
1935,"CASTILLO VALDEZ, RAFAEL EDUARDO",52
1929,"BARRY, ROBERT",52
1937,"DEMPSEY, JAMES FRANCIS",52
1943,KISSINGER,52
1938,"DUPONT, ROBERT L",52
1945,"LONG, JEFF",52
1944,"LEHMAN, WILLIAM",52
1946,"LUCAS GARCIA, FERNANDO ROMEO",52
1941,"GRANT, JAMES P",52
1940,"EYADEMA, ETIENNE",52
1939,"EDWARDS, DON",52
1996,"SABBAGH, ISA",51
1989,"MONJO, JOHN C",51
1990,"NEELY, PAULA M",51
1991,"PETERSON, RUSSELL",51
1992,"RAMSAY, WILLIAM C",51
1993,"RICHARDSON, ELLIOTT L",51
1994,ROBINSON,51
1995,"ROSTENKOWSKI, DAN",51
2000,"WACHTMEISTER, WILHELM",51
1997,SCHACHT,51
1998,"SEAGA, EDWARD",51
1999,"UEKI, SHIGEAKI",51
2001,"WEEKS, JAMES MARTIN",51
2002,"WILSON, PAUL",51
2003,"WINTERS, ANN ROBERTA",51
1987,"LEWIS, SAMUEL",51
1988,"LYNCH, JOHN M",51
1969,"AL-BAKR, AHMAD HASAN",51
1986,"KOBELINSKI, MITCHELL P",51
1977,"COSTLE, DOUGLAS",51
1985,"KINTNER, WILLIAM R",51
1970,"AL-MAHDI, MOHAMMED SADIQ",51
1971,"BURKE, WILLIAM JAMES",51
1973,CHIANG L FAN,51
1974,"CLARK, RAMSEY",51
1975,"COOPER, THEODORE",51
1976,"CORNWELL, T M",51
1972,"CARLSON, CHARLES B",51
1978,"CUTLER, WALTER L",51
1980,FREEMAN,51
1981,"GANTZ, DAVID A",51
1982,"JIMENEZ REYES, RAMON EMILIO",51
1983,"KARMAL, BABRAK",51
1984,KIMURA,51
1979,"FALLDIN, THORBJORN",51
2038,"LUONGO, ROBERT A",50
2042,"MOORE, ALTON WAYNE",50
2041,"MCBRIDE, SEAN",50
2040,"MCAULIFFE, DENNIS P",50
2039,LY KIM CUC,50
2033,KARAMANLIS,50
2037,"LOPEZ REGA, JOSE",50
2035,"LANDE, STEPHEN",50
2034,KIM CHI-HA,50
2032,"JORDAN, WILLIAM H",50
2044,"O'NEILL, THOMAS P JR",50
2043,"MOSER, S H",50
2053,"VETTI, WAYNE",50
2045,"POAGE, WR",50
2046,"POWELL, EMMERSON M",50
2047,"ROSENTHAL, HAROLD",50
2048,"SAHUQUILLO, JOSE LUIS",50
2049,"SAPPER, DOUGLAS A",50
2050,"SPAIN, JAMES W",50
2051,"SPASOWSKI, ROMUALD",50
2052,"VAREA RIVERO, JUAN ANTONIO",50
2030,"GILINSKY, VICTOR",50
2054,"WARNER, MARVIN L",50
2055,"WHALEN, CHARLES W",50
2056,WIDJOJO NITISASTRO,50
2031,"GRANGER, JOHN",50
2036,"LICHTBLAU, GEORGE E",50
2029,"GARRETT, SYLVIA F",50
2016,"CHERNYAYEV, RUDOLF",50
2028,"GARCIA NEGRIN, BIENVENDO",50
2004,"ACOSTA, BLANCA",50
2005,"AHMIEL, YOSEF VULF MANAKLHEM",50
2006,"AKE, SIMEON",50
2007,"ALLADAYE, MICHEL",50
